date,climate_only_comments,covid_only_comments,co_mention_comments,co_mention_share_among_climate_comments,climate_only_comments_ma7,co_mention_share_among_climate_comments_ma7
2020-12-14,1413,39589,149,0.09539052496798976,1409.857142857143,0.1038073917033009
2020-12-15,1506,38312,139,0.08449848024316109,1407.7142857142858,0.10031244700291393
2020-12-16,1494,40597,171,0.10270270270270271,1423.4285714285713,0.09993208695868835
2020-12-17,1539,41234,175,0.10210035005834306,1461.0,0.09922243987615033
2020-12-18,1667,39981,155,0.08507135016465422,1504.142857142857,0.09638719950154588
2020-12-19,1240,36021,133,0.0968681718863802,1485.0,0.09540862411265584
2020-12-20,1111,38735,105,0.08634868421052631,1424.2857142857142,0.09328289489053676
2020-12-21,1226,45394,175,0.12491077801570306,1397.5714285714287,0.09750007389735295
2020-12-22,1271,43759,149,0.10492957746478873,1364.0,0.10041880207187119
2020-12-23,1156,42848,124,0.096875,1315.7142857142858,0.09958627311434222
2020-12-24,1001,33661,112,0.10062893081761007,1238.857142857143,0.09937607036566609
2020-12-25,904,27580,96,0.096,1129.857142857143,0.10093730605642978
2020-12-26,1008,29941,85,0.0777676120768527,1096.7142857142858,0.0982086546550687
2020-12-27,1304,35795,125,0.08747375787263821,1124.2857142857142,0.09836937946394184
2020-12-28,1573,38952,174,0.09959931310818546,1173.857142857143,0.09475345590572504
2020-12-29,1237,42484,147,0.10621387283236994,1169.0,0.09493692667252233
2020-12-30,1156,45549,181,0.13537771129394166,1169.0,0.10043731400022829
2020-12-31,1234,43991,185,0.1303735024665257,1202.2857142857142,0.10468653852150193
2021-01-01,953,35394,139,0.12728937728937728,1209.2857142857142,0.10915644956284155
2021-01-02,1140,41229,152,0.11764705882352941,1228.142857142857,0.11485351338379537
2021-01-03,1290,41350,132,0.09282700421940929,1226.142857142857,0.11561826286190553
2021-01-04,1378,45489,166,0.10751295336787564,1198.2857142857142,0.11674878289900413
2021-01-05,1361,46953,176,0.11450878334417697,1216.0,0.11793377011497655
2021-01-06,1538,42846,212,0.12114285714285715,1270.5714285714287,0.1159002195219645
2021-01-07,1250,34317,178,0.12464985994397759,1272.857142857143,0.11508255630445763
2021-01-08,1280,37491,168,0.11602209944751381,1319.5714285714287,0.1134729451841914
2021-01-09,1335,32975,138,0.09368635437881874,1347.4285714285713,0.1100499874063756
2021-01-10,1503,33443,181,0.10748218527315914,1377.857142857143,0.11214358469976844
2021-01-11,1240,37356,140,0.10144927536231885,1358.142857142857,0.11127734498468889
2021-01-12,1623,39959,152,0.0856338028169014,1395.5714285714287,0.10715234776650669
2021-01-13,1582,39814,169,0.09651627641347801,1401.857142857143,0.10363426480516678
2021-01-14,1489,37723,167,0.10084541062801933,1436.0,0.10023362918860132
2021-01-15,1498,39336,173,0.10353081986834231,1467.142857142857,0.09844916067729112
2021-01-16,1343,32485,144,0.0968392737054472,1468.2857142857142,0.09889957772395232
2021-01-17,1486,33646,138,0.08497536945812807,1465.857142857143,0.09568431832180503
2021-01-18,1583,35074,170,0.09697661152310325,1514.857142857143,0.09504536634477423
2021-01-19,1609,37642,150,0.08527572484366117,1512.857142857143,0.09499421234859706
2021-01-20,1764,37264,266,0.1310344827586207,1538.857142857143,0.09992538468361745
2021-01-21,2549,38733,254,0.09061719586157688,1690.2857142857142,0.09846421114555423
2021-01-22,2011,39660,178,0.08131566925536775,1763.5714285714287,0.09529061820084359
2021-01-23,1361,34009,142,0.09447771124417831,1766.142857142857,0.09495325213494801
2021-01-24,1477,33782,166,0.101034692635423,1764.857142857143,0.09724744116027585
2021-01-25,1509,39818,179,0.10604265402843602,1754.2857142857142,0.09854259008960911
2021-01-26,1820,38773,180,0.09,1784.4285714285713,0.09921748654051465
2021-01-27,1644,38598,169,0.09321566464423607,1767.2857142857142,0.09381479823845972
2021-01-28,1717,34806,167,0.08864118895966029,1648.4285714285713,0.09353251153818591
2021-01-29,1294,34108,136,0.0951048951048951,1546.0,0.09550240094526126
2021-01-30,1119,31575,121,0.09758064516129032,1511.4285714285713,0.0959456772191344
