date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-12-27,1304,35795,125,37224,8.74737578726382,2237
2020-12-28,1573,38952,174,40699,9.959931310818545,1650
2020-12-29,1237,42484,147,43868,10.621387283236993,1903
2020-12-30,1156,45549,181,46886,13.537771129394166,2180
2020-12-31,1234,43991,185,45410,13.03735024665257,3351
2021-01-01,953,35394,139,36486,12.728937728937728,3763
2021-01-02,1140,41229,152,42521,11.76470588235294,3754
2021-01-03,1290,41350,132,42772,9.282700421940929,3049
2021-01-04,1378,45489,166,47033,10.751295336787564,2384
2021-01-05,1361,46953,176,48490,11.450878334417697,2044
2021-01-06,1538,42846,212,44596,12.114285714285716,2029
2021-01-07,1250,34317,178,35745,12.46498599439776,3496
2021-01-08,1280,37491,168,38939,11.602209944751381,3855
2021-01-09,1335,32975,138,34448,9.368635437881874,3978
2021-01-10,1503,33443,181,35127,10.748218527315915,3711
2021-01-11,1240,37356,140,38736,10.144927536231885,3411
2021-01-12,1623,39959,152,41734,8.56338028169014,2555
2021-01-13,1582,39814,169,41565,9.651627641347801,2534
2021-01-14,1489,37723,167,39379,10.084541062801932,3600
2021-01-15,1498,39336,173,41007,10.353081986834232,4066
2021-01-16,1343,32485,144,33972,9.68392737054472,3762
2021-01-17,1486,33646,138,35270,8.497536945812808,3384
2021-01-18,1583,35074,170,36827,9.697661152310324,3549
2021-01-19,1609,37642,150,39401,8.527572484366116,2600
2021-01-20,1764,37264,266,39294,13.10344827586207,2250
2021-01-21,2549,38733,254,41536,9.061719586157688,2738
2021-01-22,2011,39660,178,41849,8.131566925536776,3826
2021-01-23,1361,34009,142,35512,9.44777112441783,3853
2021-01-24,1477,33782,166,35425,10.1034692635423,3679
2021-01-25,1509,39818,179,41506,10.604265402843602,3073
2021-01-26,1820,38773,180,40773,9.0,2477
2021-01-27,1644,38598,169,40411,9.321566464423608,2037
2021-01-28,1717,34806,167,36690,8.86411889596603,3576
2021-01-29,1294,34108,136,35538,9.51048951048951,3950
2021-01-30,1119,31575,121,32815,9.758064516129032,3870
2021-01-31,1158,33115,111,34384,8.747044917257684,3266
2021-02-01,1236,36926,141,38303,10.239651416122005,2827
2021-02-02,1441,36647,127,38215,8.099489795918368,2291
2021-02-03,1504,36250,147,37901,8.903694730466384,2229
2021-02-04,1468,36876,140,38484,8.706467661691542,2947
2021-02-05,1353,39100,140,40593,9.377093101138648,3280
2021-02-06,1208,32608,103,33919,7.856598016781083,3127
2021-02-07,1379,30989,127,32495,8.432934926958831,3399
2021-02-08,1385,36132,118,37635,7.850964737192283,2803
2021-02-09,1486,38387,156,40029,9.500609013398295,1771
2021-02-10,1317,35729,146,37192,9.979494190020507,1668
2021-02-11,1513,35722,146,37381,8.800482218203737,2470
2021-02-12,1416,35176,138,36730,8.880308880308881,2813
2021-02-13,1262,32177,117,33556,8.484408992023205,3252
2021-02-14,1241,30699,123,32063,9.017595307917889,5061
2021-02-15,1987,32518,139,34644,6.538099717779869,3316
2021-02-16,3552,34301,160,38013,4.310344827586207,1572
2021-02-17,4259,34387,237,38883,5.2713523131672595,1387
2021-02-18,3717,34677,199,38593,5.0817160367722165,1407
2021-02-19,3221,33619,229,37069,6.63768115942029,2181
2021-02-20,2285,29374,167,31826,6.810766721044045,2247
2021-02-21,1771,29942,154,31867,8.0,2322
2021-02-22,1927,34108,165,36200,7.88718929254302,1839
2021-02-23,2122,36328,171,38621,7.4574792847797635,1525
2021-02-24,1942,33607,165,35714,7.831039392501187,1487
2021-02-25,1802,33201,140,35143,7.209062821833162,1718
2021-02-26,1783,31978,145,33906,7.520746887966805,1975
2021-02-27,1555,27760,125,29440,7.440476190476191,2850
2021-02-28,1400,29467,154,31021,9.90990990990991,1966
2021-03-01,1812,32960,137,34909,7.029245767060031,1634
2021-03-02,1744,36722,156,38622,8.210526315789474,1026
2021-03-03,1664,39976,158,41798,8.67178924259056,1323
2021-03-04,1580,36523,168,38271,9.610983981693364,1128
2021-03-05,1394,35199,134,36727,8.769633507853403,1896
2021-03-06,1225,28501,127,29853,9.393491124260354,1515
2021-03-07,1193,29661,118,30972,9.000762776506484,1924
